ID,DATA,DIALOG,CLASS,,
147,ร่างกายมีอุณหูมิสูง,1,ไข้,,
148,ร่างกายร้อน,1,ไข้,,
149,ร่างกายอุ่นร้อน,1,ไข้,,
150,ร่างกายมีอุณหูมิมากกว่า 38 องศาเซลเซียล,1,ไข้,,
151,ร่างกายมีอุณหูมิมากกว่า 38 องศา,1,ไข้,,
152,ร่างกายของผมมีอุณหูมิมากกว่า 38 องศาเซลเซียล,1,ไข้,,
153,ภาวะร่างกายร้อน,1,ไข้,,
154,ภาวะร่างกายร้อนมาก,1,ไข้,,
155,ภาวะร่างกายร้อนสูง,1,ไข้,,
156,มีสภาวะเป็นไข้ตัวร้อน เพราะอุณหภูมิสูงขึ้น,1,ไข้,,
157,ร่างกายร้อนมากเลยครับ,1,ไข้,,
158,ร่างกายร้อนเหมือนจะเป็นไข้,1,ไข้,,
159,เป็นไข้ตัวร้อนมากครับ มากกว่า 40 องศาเซลเซียล,1,ไข้,,
160,ไข้หรือตัวร้อน,1,ไข้,,
161,ไข้หรือตัวร้อนในเด็กไม่ได้เป็นโรค,1,ไข้,,
162,อุณหภูมิกายแกนกลางร่างกายสูงกว่า 37.5 องศาเซลเซียส,1,ไข้,,
163,อุณหภูมิที่ใช้ต้องเป็นอุณหภูมิแกนกลางร่างกาย,1,ไข้,,
164,ไข้เป็นอาการอย่างหนึ่งของการเจ็บป่วย,1,ไข้,,
165,มีไข้สูง,1,ไข้,,
166,การชักจากไข้สูง,1,ไข้,,
167,เด็กที่เคยชักเวลามีไข้สูง,1,ไข้,,
168,มีประวัติชักในครอบครัวเมื่อไข้สูง,1,ไข้,,
169,มีไข้เป็นพิเศษ,1,ไข้,,
170,อุณหภูมิกายถึงเกณฑ์ของไข้,1,ไข้,,
171,ผู้ป่วยเด็กมีอุณหภูมิร่างกายมากกว่า 37.8 C,1,ไข้,,
172,มีอาการหนาวสั่น,1,ไข้,,
173,มีไข้หลังจากรับประทานยาบางชนิด,1,ไข้,,
174,ไข้ที่ว่าธรรมดา,1,ไข้,,
175,ไข้ธรรมดา,1,ไข้,,
176,ผมป่วยมีไข้ตัวร้อนสูงมาก,1,ไข้,,
177,ไข้ทั่วไป,1,ไข้,,
178,เป็นหวัด,1,ไข้,,
179,อาการไข้,1,ไข้,,
180,ตัวร้อน,1,ไข้,,
181,อาการซึ่งร่างกายมีอุณหภูมิที่สูงขึ้นกว่าปกติ,1,ไข้,,
182,ไข้สูงเกิน 38 องศาเซลเซียส,1,ไข้,,
183,ไข้ต่ำ,1,ไข้,,
184,ไข้สูง,1,ไข้,,
185,ไข้สูงเกิน,1,ไข้,,
186,ร่างกายของผมมี ไข้สูง,1,ไข้,,
187,ร่างกายของผมมีอาการร้อนอุ่นๆ,1,ไข้,,
188,ร่างกายของผมร้อนเหมือนจะมีไข้,1,ไข้,,
189,ตัวผมร้อน,1,ไข้,,
190,ตัวผมมีไข้,1,ไข้,,
191,ตัวผมเหมือนจะมีไข้,1,ไข้,,
192,ตัวผมมีอาการร้อน,1,ไข้,,
193,ตัวของข้าร้อน,1,ไข้,,
194,กูมีไข้เลยทำให้ตัวร้อน,1,ไข้,,
195,ข้าไม่ได้ตัวเย็นแต่ตัวร้อน,1,ไข้,,
196,ไข้สูงเกิน 40.5 องศาเซลเซียส,1,ไข้,,
197,มีอาการตัวเริ่มร้อน,1,ไข้,,
198,ตัวเริ่มร้อนแล้วครับ,1,ไข้,,
199,ผมว่าผมเป็นไข้แน่นอนครับ,1,ไข้,,
200,เป็นไข้,1,ไข้,,
201,ตัวร้อน ไอ น้ำมูกไหล,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
202,ไอตัวร้อน,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
203,ไอมีน้ำมูก,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
204,ตัวร้อนมีน้ำมูก,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
205,ไอและมีไข้,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
206,มีน้ำมูกและมีไข้,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
207,ไอมีเสมหะ ตัวร้อน,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
208,มีเสมหะและมีไข้,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
209,มีไข้และไอ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
210,ไอมีเสมหะ มีไข้ตัวร้อน,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
211,เป็นไข้มีน้ำมูก,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
212,มีอาการไอและมีไข้ตัวร้อน,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
213,กูไอมีน้ำมูกและมีไข้,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
214,มีไข้และน้ำมูก,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
215,มีไข้มากกว่า 37.5 องศา และไอ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
216,ไอและมีไข้ 39.4 องศา,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
217,มีไข้มากกว่า 38.5 องศา และมีน้ำมูกไหล,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
218,มีไข้มากกว่า 38.0 องศา ไอ น้ำมูกไหล,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
219,มีไข้มากกว่า 37.9 องศา และน้ำมูก,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
220,มีอาการไข้มากกว่า 37.5 องศา และไอ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
221,มีไข้ 39.4 องศาเซลเซียล และไอ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
222,มีไข้มากกว่า 38.5 องศาเซลเซียล และมีน้ำมูกไหล,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
223,มีไข้มากกว่า 38.0 องศาเซลเซียล และมีน้ำมูก,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
224,ไอและมีไข้มากกว่า 37.9 องศาเซลเซียล,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
225,ตัวร้อนมากกว่า 37.5 องศา และมีอาการน้ำมูกไหลร่วมด้วย,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
226,ตัวร้อน 39.4 องศา มีอาการไอร่วมด้วย,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
227,ตัวร้อนมากกว่า 38.5 องศา มีอาการไอและน้ำมูกไหลร่วมด้วย,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
228,ตัวร้อนมากกว่า 38.0 องศา พร้อมกับมีน้ำมูกไหล,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
229,ไอ ตัวร้อนมากกว่า 37.9 องศา,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
230,น้ำมูกไหลและตัวร้อนมากกว่า 37.5 องศา,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
231,ไอ ตัวร้อน 39.4 องศาเซลเซียล,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
232,มีไข้ตัวร้อนมากกว่า 38.5 องศาเซลเซียล และไอ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
233,มีไข้ตัวร้อนมากกว่า 38.0 องศาเซลเซียล และมีน้ำมูกไหล,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
234,มีไข้ตัวร้อนมากกว่า 37.9 องศาเซลเซียล มีอาการไอและน้ำมูกไหล,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
235,ไอตัวผมร้อน,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
236,มีน้ำมูก ตัวผมมีไข้,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
237,ตัวผมเหมือนจะมีไข้ และมีน้ำมูกด้วย,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
238,ตัวผมมีอาการร้อน ไอ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
239,ตัวของข้าร้อน มีน้ำมูกไหล,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
240,กูมีไข้เลยทำให้ตัวร้อน และมีอาการไอร่วมด้วย,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
241,ข้าไม่ได้ตัวเย็นแต่ตัวร้อน และมีน้ำมูก,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
242,ไอและไข้สูงเกิน 40.5 องศาเซลเซียส,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
243,มีอาการตัวเริ่มร้อน ไอ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
244,ไอและตัวเริ่มร้อนแล้วครับ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
245,ผมว่าผมเป็นไข้แน่นอนครับและไอ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
246,เป็นไข้ตัวร้อน มีอาการไอและน้ำมูกไหลร่วมด้วย,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
247,ผมมีอาการไอนิดหน่อยครับ และมีน้ำมูกด้วย,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
248,ผมป่วยเป็นไข้ตัวร้อนแล้วมีอาการไอเล็กน้อยครับ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
249,มีน้ำมูกไหล แล้วตัวร้อนด้วยครับ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
250,ผมไอและตัวร้อน,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
251,เราไอและมีน้ำมูกไหลตลอดเวลาเลย,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
252,ข้าป่วยมีน้ำมูกไหลและมีไข้,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
253,ไอแต่ไม่เจ็บคอ แต่ตัวร้อน,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
254,ตัวร้อนเป็นไข้ มีไอ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
255,ไอ ตัวร้อน,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
256,ไอ น้ำมูกไหล ไข้ตัวร้อน,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
257,ตัวร้อน น้ำมูกไหล ไอ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
258,ไข้ น้ำมูกไหล ไอ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
259,ตัวร้อน มีน้ำมูก และไอ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
260,ไอและมีไข้สูง,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
261,ไอและมีไข้ต่ำ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
262,มีน้ำมูกไหลและมีไข้ต่ำ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
263,มีน้ำมูกไหลและมีไข้สูง,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
264,ไอมากแต่ไม่เจ็บคอ มีไข้ปกติ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
265,มีไข้ธรรมดา แต่มีน้ำมูกไหล,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
266,มีอุณภูมิร่างกายสูงและมีอาการไอร่วมด้วย,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
267,มีอุณภูมิร่างกายสูงนิดหน่อยและมีอาการไอร่วมด้วย,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
268,มีอุณภูมิร่างกายปกติและมีอาการไอร่วมด้วย,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
269,มีอุณภูมิร่างกายปกติและมีอาการน้ำมูกไหลร่วมด้วย,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
270,ร่างกายมีอาการตัวร้อนน้ำมูกไหล,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
271,ร่างกายมีภาวะร้อนและไอ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
272,ผมมีอาการไข้ร่วมกับน้ำมูกหรือไอ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
273,ผมมีอาการไข้และน้ำมูก,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
274,ผมมีอาการไข้และไอ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
275,ผมเป็นไข้ร่วมกับน้ำมูกหรือไอ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
276,ผมเป็นไข้และน้ำมูก,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
277,ผมเป็นไข้และไอ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
278,ฉันมีอาการไข้ร่วมกับน้ำมูกหรือไอ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
279,ฉันมีอาการไข้และน้ำมูก,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
280,ฉันมีอาการไข้และไอ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
281,ฉันเป็นไข้ร่วมกับน้ำมูกหรือไอ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
282,ฉันเป็นไข้และน้ำมูก,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
283,ฉันเป็นไข้และไอ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
284,มีอาการไข้ร่วมกับน้ำมูกหรือไอ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
285,มีอาการไข้และน้ำมูก,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
286,มีอาการไข้และไอ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
287,เป็นไข้ร่วมกับน้ำมูกหรือไอ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
288,เป็นไข้และน้ำมูก,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
289,เป็นไข้และไอ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
290,มีน้ำไหลออกจากจมูกและมีไข้สูง,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
291,น้ำไหลออกจากจมูกและมีอาการเหมือนป่วย,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
292,ผมมีอาการเหมือนจะป่วยเลยครับ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
293,ผมมีอาการตัวร้อนเหมือนจะป่วยเลย,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
294,มีอาการตัวร้อนเหมือนจะป่วยเลย,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
295,ไอพร้อมมีอาการตัวร้อน,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
296,มีน้ำมูกไหลแล้วก็มีอาการตัวร้อนตามมา,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
297,ผมป่วยมีอาการตัวร้อนและไอ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
298,ผมป่วยมีไข้และ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
299,ผมป่วยมีอาการตัวร้อนและมีน้ำมูกไหล,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
300,ผมป่วยมีไข้ตัวร้อนสูงมากและมีอาการไอ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
301,มีอาการไอและป่วยตัวร้อน,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
302,ผมมีอาการไอและป่วยตัวร้อน,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
303,ผมมีอาการตัวร้อนมีไข้พร้อมกับไอ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
304,ผมมีอาการมีไข้และมีน้ำมูกไหลออกจากจมูก,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
305,ผมมีอาการป่วยมีไข้ตัวร้อนและไอด้วยครับ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
306,ผมมีอาการมีน้ำมูกไหลและตัวร้อน,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
307,ผมเป็นไอและป่วยตัวร้อน,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
308,ผมเป็นตัวร้อนมีไข้พร้อมกับไอ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
309,ผมเป็นมีไข้และมีน้ำมูกไหลออกจากจมูก,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
310,ผมเป็นป่วยมีไข้ตัวร้อนและไอด้วยครับ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
311,ผมเป็นมีน้ำมูกไหลและตัวร้อน,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
312,ผมไอและป่วยตัวร้อน,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
313,ผมตัวร้อนมีไข้พร้อมกับไอ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
314,ผมมีไข้และมีน้ำมูกไหลออกจากจมูก,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
315,ผมป่วยมีไข้ตัวร้อนและไอด้วยครับ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
316,ผมมีน้ำมูกไหลและตัวร้อน,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
317,ฉันมีอาการไอและป่วยตัวร้อน,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
318,ฉันมีอาการตัวร้อนมีไข้พร้อมกับไอ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
319,ฉันมีอาการมีไข้และมีน้ำมูกไหลออกจากจมูก,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
320,ฉันมีอาการป่วยมีไข้ตัวร้อนและไอด้วยครับ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
321,ฉันมีอาการมีน้ำมูกไหลและตัวร้อน,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
322,ฉันเป็นไอและป่วยตัวร้อน,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
323,ฉันเป็นตัวร้อนมีไข้พร้อมกับไอ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
324,ฉันเป็นมีไข้และมีน้ำมูกไหลออกจากจมูก,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
325,ฉันเป็นป่วยมีไข้ตัวร้อนและไอด้วยครับ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
326,ฉันเป็นมีน้ำมูกไหลและตัวร้อน,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
327,ฉันไอและป่วยตัวร้อน,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
328,ฉันตัวร้อนมีไข้พร้อมกับไอ,2,ไข้ร่วมกับน้ำมูกหรือไอ,,
