data,output
ได้ละ,ใช่
ได้ว่ะ,ใช่
ได้จ้ะ,ใช่
ได้จ๊ะ,ใช่
รู้,ใช่
รู้ครับ,ใช่
รู้ค่ะ,ใช่
รู้นะ,ใช่
รู้คับ,ใช่
รู้นะคะ,ใช่
รู้นะจ๊ะ,ใช่
รู้จ้า,ใช่
รู้ละ,ใช่
รู้ว่ะ,ใช่
รู้จ้ะ,ใช่
รู้จ๊ะ,ใช่
ต้องการ,ใช่
ต้องการครับ,ใช่
ต้องการค่ะ,ใช่
ต้องการนะ,ใช่
ต้องการคับ,ใช่
ต้องการนะคะ,ใช่
ต้องการนะจ๊ะ,ใช่
ต้องการจ้า,ใช่
ต้องการละ,ใช่
ต้องการว่ะ,ใช่
ต้องการจ้ะ,ใช่
ต้องการจ๊ะ,ใช่
เป็น,ใช่
เป็นครับ,ใช่
เป็นค่ะ,ใช่
เป็นนะ,ใช่
เป็นคับ,ใช่
เป็นนะคะ,ใช่
เป็นนะจ๊ะ,ใช่
เป็นจ้า,ใช่
เป็นละ,ใช่
เป็นว่ะ,ใช่
เป็นจ้ะ,ใช่
เป็นจ๊ะ,ใช่
เห็น,ใช่
เห็นครับ,ใช่
เห็นค่ะ,ใช่
เห็นนะ,ใช่
เห็นคับ,ใช่
เห็นนะคะ,ใช่
เห็นนะจ๊ะ,ใช่
เห็นจ้า,ใช่
เห็นละ,ใช่
เห็นว่ะ,ใช่
เห็นจ้ะ,ใช่
เห็นจ๊ะ,ใช่
เอา,ใช่
เอาครับ,ใช่
เอาค่ะ,ใช่
เอานะ,ใช่
เอาคับ,ใช่
เอานะคะ,ใช่
เอานะจ๊ะ,ใช่
เอาจ้า,ใช่
เอาละ,ใช่
เอาว่ะ,ใช่
เอาจ้ะ,ใช่
เอาจ๊ะ,ใช่
จริง,ใช่
จริงครับ,ใช่
จริงค่ะ,ใช่
จริงนะ,ใช่
จริงคับ,ใช่
จริงนะคะ,ใช่
จริงนะจ๊ะ,ใช่
จริงจ้า,ใช่
จริงละ,ใช่
จริงว่ะ,ใช่
จริงจ้ะ,ใช่
จริงจ๊ะ,ใช่
จิง,ใช่
จิงครับ,ใช่
จิงค่ะ,ใช่
จิงนะ,ใช่
จิงคับ,ใช่
จิงนะคะ,ใช่
จิงนะจ๊ะ,ใช่
จิงจ้า,ใช่
จิงละ,ใช่
จิงว่ะ,ใช่
จิงจ้ะ,ใช่
จิงจ๊ะ,ใช่
ไป,ใช่
ไปครับ,ใช่
ไปค่ะ,ใช่
ไปนะ,ใช่
ไปคับ,ใช่
ไปนะคะ,ใช่
ไปนะจ๊ะ,ใช่
ไปจ้า,ใช่
ไปละ,ใช่
ไปว่ะ,ใช่
ไปจ้ะ,ใช่
ไปจ๊ะ,ใช่
เดิน,ใช่
เดินครับ,ใช่
เดินค่ะ,ใช่
เดินนะ,ใช่
เดินคับ,ใช่
เดินนะคะ,ใช่
เดินนะจ๊ะ,ใช่
เดินจ้า,ใช่
เดินละ,ใช่
เดินว่ะ,ใช่
เดินจ้ะ,ใช่
เดินจ๊ะ,ใช่
อยาก,ใช่
อยากครับ,ใช่
อยากค่ะ,ใช่
อยากนะ,ใช่
อยากคับ,ใช่
อยากนะคะ,ใช่
อยากนะจ๊ะ,ใช่
อยากจ้า,ใช่
อยากละ,ใช่
อยากว่ะ,ใช่
อยากจ้ะ,ใช่
อยากจ๊ะ,ใช่
มา,ใช่
มาครับ,ใช่
มาค่ะ,ใช่
มานะ,ใช่
มาคับ,ใช่
มานะคะ,ใช่
มานะจ๊ะ,ใช่
มาจ้า,ใช่
มาละ,ใช่
มาว่ะ,ใช่
มาจ้ะ,ใช่
มาจ๊ะ,ใช่
ครับ,ใช่
คับ,ใช่
ไม่ใช่,ไม่ใช่
ไม่ใช่ครับ,ไม่ใช่
ไม่ใช่ค่ะ,ไม่ใช่
ไม่ใช่นะ,ไม่ใช่
ไม่ใช่คับ,ไม่ใช่
ไม่ใช่นะคะ,ไม่ใช่
ไม่ใช่นะจ๊ะ,ไม่ใช่
ไม่ใช่จ้า,ไม่ใช่
ไม่ใช่ละ,ไม่ใช่
ไม่ใช่ว่ะ,ไม่ใช่
ไม่ใช่จ้ะ,ไม่ใช่
ไม่ใช่จ๊ะ,ไม่ใช่
ไม่แน่นอน,ไม่ใช่
ไม่แน่นอนครับ,ไม่ใช่
ไม่แน่นอนค่ะ,ไม่ใช่
ไม่แน่นอนนะ,ไม่ใช่
ไม่แน่นอนคับ,ไม่ใช่
ไม่แน่นอนนะคะ,ไม่ใช่
ไม่แน่นอนนะจ๊ะ,ไม่ใช่
ไม่แน่นอนจ้า,ไม่ใช่
ไม่แน่นอนละ,ไม่ใช่
ไม่แน่นอนว่ะ,ไม่ใช่
ไม่แน่นอนจ้ะ,ไม่ใช่
ไม่แน่นอนจ๊ะ,ไม่ใช่
ไม่ดี,ไม่ใช่
ไม่ดีครับ,ไม่ใช่
ไม่ดีค่ะ,ไม่ใช่
ไม่ดีนะ,ไม่ใช่
ไม่ดีคับ,ไม่ใช่
ไม่ดีนะคะ,ไม่ใช่
ไม่ดีนะจ๊ะ,ไม่ใช่
ไม่ดีจ้า,ไม่ใช่
ไม่ดีละ,ไม่ใช่
ไม่ดีว่ะ,ไม่ใช่
ไม่ดีจ้ะ,ไม่ใช่
ไม่ดีจ๊ะ,ไม่ใช่
ไม่ถูก,ไม่ใช่
ไม่ถูกครับ,ไม่ใช่
ไม่ถูกค่ะ,ไม่ใช่
ไม่ถูกนะ,ไม่ใช่
ไม่ถูกคับ,ไม่ใช่
ไม่ถูกนะคะ,ไม่ใช่
ไม่ถูกนะจ๊ะ,ไม่ใช่
ไม่ถูกจ้า,ไม่ใช่
ไม่ถูกละ,ไม่ใช่
ไม่ถูกว่ะ,ไม่ใช่
ไม่ถูกจ้ะ,ไม่ใช่
ไม่ถูกจ๊ะ,ไม่ใช่
ไม่โอเคร,ไม่ใช่
ไม่โอเครครับ,ไม่ใช่
ไม่โอเครค่ะ,ไม่ใช่
ไม่โอเครนะ,ไม่ใช่
ไม่โอเครคับ,ไม่ใช่
ไม่โอเครนะคะ,ไม่ใช่
ไม่โอเครนะจ๊ะ,ไม่ใช่
ไม่โอเครจ้า,ไม่ใช่
ไม่โอเครละ,ไม่ใช่
ไม่โอเครว่ะ,ไม่ใช่
ไม่โอเครจ้ะ,ไม่ใช่
ไม่โอเครจ๊ะ,ไม่ใช่
ไม่ชอบ,ไม่ใช่
ไม่ชอบครับ,ไม่ใช่
ไม่ชอบค่ะ,ไม่ใช่
ไม่ชอบนะ,ไม่ใช่
ไม่ชอบคับ,ไม่ใช่
ไม่ชอบนะคะ,ไม่ใช่
ไม่ชอบนะจ๊ะ,ไม่ใช่
ไม่ชอบจ้า,ไม่ใช่
ไม่ชอบละ,ไม่ใช่
ไม่ชอบว่ะ,ไม่ใช่
ไม่ชอบจ้ะ,ไม่ใช่
ไม่ชอบจ๊ะ,ไม่ใช่
ไม่เก่ง,ไม่ใช่
ไม่เก่งครับ,ไม่ใช่
ไม่เก่งค่ะ,ไม่ใช่
ไม่เก่งนะ,ไม่ใช่
ไม่เก่งคับ,ไม่ใช่
ไม่เก่งนะคะ,ไม่ใช่
ไม่เก่งนะจ๊ะ,ไม่ใช่
ไม่เก่งจ้า,ไม่ใช่
ไม่เก่งละ,ไม่ใช่
ไม่เก่งว่ะ,ไม่ใช่
ไม่เก่งจ้ะ,ไม่ใช่
ไม่เก่งจ๊ะ,ไม่ใช่
ไม่ได้,ไม่ใช่
ไม่ได้ครับ,ไม่ใช่
ไม่ได้ค่ะ,ไม่ใช่
ไม่ได้นะ,ไม่ใช่
ไม่ได้คับ,ไม่ใช่
ไม่ได้นะคะ,ไม่ใช่
ไม่ได้นะจ๊ะ,ไม่ใช่
ไม่ได้จ้า,ไม่ใช่
ไม่ได้ละ,ไม่ใช่
ไม่ได้ว่ะ,ไม่ใช่
ไม่ได้จ้ะ,ไม่ใช่
ไม่ได้จ๊ะ,ไม่ใช่
ไม่รู้,ไม่ใช่
ไม่รู้ครับ,ไม่ใช่
ไม่รู้ค่ะ,ไม่ใช่
ไม่รู้นะ,ไม่ใช่
ไม่รู้คับ,ไม่ใช่
ไม่รู้นะคะ,ไม่ใช่
ไม่รู้นะจ๊ะ,ไม่ใช่
ไม่รู้จ้า,ไม่ใช่
ไม่รู้ละ,ไม่ใช่
ไม่รู้ว่ะ,ไม่ใช่
ไม่รู้จ้ะ,ไม่ใช่
ไม่รู้จ๊ะ,ไม่ใช่
ไม่ต้องการ,ไม่ใช่
ไม่ต้องการครับ,ไม่ใช่
ไม่ต้องการค่ะ,ไม่ใช่
ไม่ต้องการนะ,ไม่ใช่
ไม่ต้องการคับ,ไม่ใช่
ไม่ต้องการนะคะ,ไม่ใช่
ไม่ต้องการนะจ๊ะ,ไม่ใช่
ไม่ต้องการจ้า,ไม่ใช่
ไม่ต้องการละ,ไม่ใช่
ไม่ต้องการว่ะ,ไม่ใช่
ไม่ต้องการจ้ะ,ไม่ใช่
ไม่ต้องการจ๊ะ,ไม่ใช่
ไม่เป็น,ไม่ใช่
ไม่เป็นครับ,ไม่ใช่
ไม่เป็นค่ะ,ไม่ใช่
ไม่เป็นนะ,ไม่ใช่
ไม่เป็นคับ,ไม่ใช่
ไม่เป็นนะคะ,ไม่ใช่
ไม่เป็นนะจ๊ะ,ไม่ใช่
ไม่เป็นจ้า,ไม่ใช่
ไม่เป็นละ,ไม่ใช่
ไม่เป็นว่ะ,ไม่ใช่
ไม่เป็นจ้ะ,ไม่ใช่
ไม่เป็นจ๊ะ,ไม่ใช่
ไม่เห็น,ไม่ใช่
ไม่เห็นครับ,ไม่ใช่
ไม่เห็นค่ะ,ไม่ใช่
ไม่เห็นนะ,ไม่ใช่
ไม่เห็นคับ,ไม่ใช่
ไม่เห็นนะคะ,ไม่ใช่
ไม่เห็นนะจ๊ะ,ไม่ใช่
ไม่เห็นจ้า,ไม่ใช่
ไม่เห็นละ,ไม่ใช่
ไม่เห็นว่ะ,ไม่ใช่
ไม่เห็นจ้ะ,ไม่ใช่
ไม่เห็นจ๊ะ,ไม่ใช่
ไม่เอา,ไม่ใช่
ไม่เอาครับ,ไม่ใช่
ไม่เอาค่ะ,ไม่ใช่
ไม่เอานะ,ไม่ใช่
ไม่เอาคับ,ไม่ใช่
ไม่เอานะคะ,ไม่ใช่
ไม่เอานะจ๊ะ,ไม่ใช่
ไม่เอาจ้า,ไม่ใช่
ไม่เอาละ,ไม่ใช่
ไม่เอาว่ะ,ไม่ใช่
ไม่เอาจ้ะ,ไม่ใช่
ไม่เอาจ๊ะ,ไม่ใช่
ไม่จริง,ไม่ใช่
ไม่จริงครับ,ไม่ใช่
ไม่จริงค่ะ,ไม่ใช่
ไม่จริงนะ,ไม่ใช่
ไม่จริงคับ,ไม่ใช่
ไม่จริงนะคะ,ไม่ใช่
ไม่จริงนะจ๊ะ,ไม่ใช่
ไม่จริงจ้า,ไม่ใช่
ไม่จริงละ,ไม่ใช่
ไม่จริงว่ะ,ไม่ใช่
ไม่จริงจ้ะ,ไม่ใช่
ไม่จริงจ๊ะ,ไม่ใช่
ไม่จิง,ไม่ใช่
ไม่จิงครับ,ไม่ใช่
ไม่จิงค่ะ,ไม่ใช่
ไม่จิงนะ,ไม่ใช่
ไม่จิงคับ,ไม่ใช่
ไม่จิงนะคะ,ไม่ใช่
ไม่จิงนะจ๊ะ,ไม่ใช่
ไม่จิงจ้า,ไม่ใช่
ไม่จิงละ,ไม่ใช่
ไม่จิงว่ะ,ไม่ใช่
ไม่จิงจ้ะ,ไม่ใช่
ไม่จิงจ๊ะ,ไม่ใช่
ไม่ไป,ไม่ใช่
ไม่ไปครับ,ไม่ใช่
ไม่ไปค่ะ,ไม่ใช่
ไม่ไปนะ,ไม่ใช่
ไม่ไปคับ,ไม่ใช่
ไม่ไปนะคะ,ไม่ใช่
ไม่ไปนะจ๊ะ,ไม่ใช่
ไม่ไปจ้า,ไม่ใช่
ไม่ไปละ,ไม่ใช่
ไม่ไปว่ะ,ไม่ใช่
ไม่ไปจ้ะ,ไม่ใช่
ไม่ไปจ๊ะ,ไม่ใช่
ไม่เดิน,ไม่ใช่
ไม่เดินครับ,ไม่ใช่
ไม่เดินค่ะ,ไม่ใช่
ไม่เดินนะ,ไม่ใช่
ไม่เดินคับ,ไม่ใช่
ไม่เดินนะคะ,ไม่ใช่
ไม่เดินนะจ๊ะ,ไม่ใช่
ไม่เดินจ้า,ไม่ใช่
ไม่เดินละ,ไม่ใช่
ไม่เดินว่ะ,ไม่ใช่
ไม่เดินจ้ะ,ไม่ใช่
ไม่เดินจ๊ะ,ไม่ใช่
ไม่อยาก,ไม่ใช่
ไม่อยากครับ,ไม่ใช่
ไม่อยากค่ะ,ไม่ใช่
ไม่อยากนะ,ไม่ใช่
ไม่อยากคับ,ไม่ใช่
ไม่อยากนะคะ,ไม่ใช่
ไม่อยากนะจ๊ะ,ไม่ใช่
ไม่อยากจ้า,ไม่ใช่
ไม่อยากละ,ไม่ใช่
ไม่อยากว่ะ,ไม่ใช่
ไม่อยากจ้ะ,ไม่ใช่
ไม่อยากจ๊ะ,ไม่ใช่
ไม่มา,ไม่ใช่
ไม่มาครับ,ไม่ใช่
ไม่มาค่ะ,ไม่ใช่
ไม่มานะ,ไม่ใช่
ไม่มาคับ,ไม่ใช่
ไม่มานะคะ,ไม่ใช่
ไม่มานะจ๊ะ,ไม่ใช่
ไม่มาจ้า,ไม่ใช่
ไม่มาละ,ไม่ใช่
ไม่มาว่ะ,ไม่ใช่
ไม่มาจ้ะ,ไม่ใช่
ไม่มาจ๊ะ,ไม่ใช่
ไม่,ไม่ใช่
ไม่ครับ,ไม่ใช่
ไม่ค่ะ,ไม่ใช่
ไม่นะ,ไม่ใช่
ไม่คับ,ไม่ใช่
ไม่นะคะ,ไม่ใช่
ไม่นะจ๊ะ,ไม่ใช่
ไม่จ้า,ไม่ใช่
ไม่ละ,ไม่ใช่
ไม่ว่ะ,ไม่ใช่
ไม่จ้ะ,ไม่ใช่
ไม่จ๊ะ,ไม่ใช่
ป่าว,ไม่ใช่
ป่าวครับ,ไม่ใช่
ป่าวค่ะ,ไม่ใช่
ป่าวนะ,ไม่ใช่
ป่าวคับ,ไม่ใช่
ป่าวนะคะ,ไม่ใช่
ป่าวนะจ๊ะ,ไม่ใช่
ป่าวจ้า,ไม่ใช่
ป่าวละ,ไม่ใช่
ป่าวว่ะ,ไม่ใช่
ป่าวจ้ะ,ไม่ใช่
ป่าวจ๊ะ,ไม่ใช่
มิได้,ไม่ใช่
มิได้ครับ,ไม่ใช่
มิได้ค่ะ,ไม่ใช่
มิได้นะ,ไม่ใช่
มิได้คับ,ไม่ใช่
มิได้นะคะ,ไม่ใช่
มิได้นะจ๊ะ,ไม่ใช่
มิได้จ้า,ไม่ใช่
มิได้ละ,ไม่ใช่
มิได้ว่ะ,ไม่ใช่
มิได้จ้ะ,ไม่ใช่
มิได้จ๊ะ,ไม่ใช่
มิใช่,ไม่ใช่
มิใช่ครับ,ไม่ใช่
มิใช่ค่ะ,ไม่ใช่
มิใช่นะ,ไม่ใช่
มิใช่คับ,ไม่ใช่
มิใช่นะคะ,ไม่ใช่
มิใช่นะจ๊ะ,ไม่ใช่
มิใช่จ้า,ไม่ใช่
มิใช่ละ,ไม่ใช่
มิใช่ว่ะ,ไม่ใช่
มิใช่จ้ะ,ไม่ใช่
มิใช่จ๊ะ,ไม่ใช่
ปฏิเสธ,ไม่ใช่
ปฏิเสธครับ,ไม่ใช่
ปฏิเสธค่ะ,ไม่ใช่
ปฏิเสธนะ,ไม่ใช่
ปฏิเสธคับ,ไม่ใช่
ปฏิเสธนะคะ,ไม่ใช่
ปฏิเสธนะจ๊ะ,ไม่ใช่
ปฏิเสธจ้า,ไม่ใช่
ปฏิเสธละ,ไม่ใช่
ปฏิเสธว่ะ,ไม่ใช่
ปฏิเสธจ้ะ,ไม่ใช่
ปฏิเสธจ๊ะ,ไม่ใช่
ได้แน่นอน,ใช่
ได้แน่นอนครับ,ใช่
ได้แน่นอนค่ะ,ใช่
ได้แน่นอนนะ,ใช่
ได้แน่นอนคับ,ใช่
ได้แน่นอนนะคะ,ใช่
ได้แน่นอนนะจ๊ะ,ใช่
ได้แน่นอนจ้า,ใช่
ได้แน่นอนละ,ใช่
ได้แน่นอนว่ะ,ใช่
ได้แน่นอนจ้ะ,ใช่
ได้แน่นอนจ๊ะ,ใช่
ได้สิ,ใช่
ได้สิครับ,ใช่
ได้สิค่ะ,ใช่
ได้สินะ,ใช่
ได้สิคับ,ใช่
ได้สินะคะ,ใช่
ได้สินะจ๊ะ,ใช่
ได้สิจ้า,ใช่
ได้สิละ,ใช่
ได้สิว่ะ,ใช่
ได้สิจ้ะ,ใช่
ได้สิจ๊ะ,ใช่
ยินดี,ใช่
ยินดีครับ,ใช่
ยินดีค่ะ,ใช่
ยินดีนะ,ใช่
ยินดีคับ,ใช่
ยินดีนะคะ,ใช่
ยินดีนะจ๊ะ,ใช่
ยินดีจ้า,ใช่
ยินดีละ,ใช่
ยินดีว่ะ,ใช่
ยินดีจ้ะ,ใช่
ยินดีจ๊ะ,ใช่
ขอโทษ,ไม่ใช่
ขอโทษครับ,ไม่ใช่
ขอโทษค่ะ,ไม่ใช่
ขอโทษนะ,ไม่ใช่
ขอโทษคับ,ไม่ใช่
ขอโทษนะคะ,ไม่ใช่
ขอโทษนะจ๊ะ,ไม่ใช่
ขอโทษจ้า,ไม่ใช่
ขอโทษละ,ไม่ใช่
ขอโทษว่ะ,ไม่ใช่
ขอโทษจ้ะ,ไม่ใช่
ขอโทษจ๊ะ,ไม่ใช่
ขอโทษที,ไม่ใช่
ขอโทษทีครับ,ไม่ใช่
ขอโทษทีค่ะ,ไม่ใช่
ขอโทษทีนะ,ไม่ใช่
ขอโทษทีคับ,ไม่ใช่
ขอโทษทีนะคะ,ไม่ใช่
ขอโทษทีนะจ๊ะ,ไม่ใช่
ขอโทษทีจ้า,ไม่ใช่
ขอโทษทีละ,ไม่ใช่
ขอโทษทีว่ะ,ไม่ใช่
ขอโทษทีจ้ะ,ไม่ใช่
ขอโทษทีจ๊ะ,ไม่ใช่
เสียใจจัง,ไม่ใช่
เสียใจจังครับ,ไม่ใช่
เสียใจจังค่ะ,ไม่ใช่
เสียใจจังนะ,ไม่ใช่
เสียใจจังคับ,ไม่ใช่
เสียใจจังนะคะ,ไม่ใช่
เสียใจจังนะจ๊ะ,ไม่ใช่
เสียใจจังจ้า,ไม่ใช่
เสียใจจังละ,ไม่ใช่
เสียใจจังว่ะ,ไม่ใช่
เสียใจจังจ้ะ,ไม่ใช่
เสียใจจังจ๊ะ,ไม่ใช่
เสียใจ,ไม่ใช่
เสียใจครับ,ไม่ใช่
เสียใจค่ะ,ไม่ใช่
เสียใจนะ,ไม่ใช่
เสียใจคับ,ไม่ใช่
เสียใจนะคะ,ไม่ใช่
เสียใจนะจ๊ะ,ไม่ใช่
เสียใจจ้า,ไม่ใช่
เสียใจละ,ไม่ใช่
เสียใจว่ะ,ไม่ใช่
เสียใจจ้ะ,ไม่ใช่
เสียใจจ๊ะ,ไม่ใช่
ตกลง,ใช่
ตกลงครับ,ใช่
ตกลงค่ะ,ใช่
ตกลงนะ,ใช่
ตกลงคับ,ใช่
ตกลงนะคะ,ใช่
ตกลงนะจ๊ะ,ใช่
ตกลงจ้า,ใช่
ตกลงละ,ใช่
ตกลงว่ะ,ใช่
ตกลงจ้ะ,ใช่
ตกลงจ๊ะ,ใช่
รับได้,ใช่
รับได้ครับ,ใช่
รับได้ค่ะ,ใช่
รับได้นะ,ใช่
รับได้คับ,ใช่
รับได้นะคะ,ใช่
รับได้นะจ๊ะ,ใช่
รับได้จ้า,ใช่
รับได้ละ,ใช่
รับได้ว่ะ,ใช่
รับได้จ้ะ,ใช่
รับได้จ๊ะ,ใช่
พร้อม,ใช่
พร้อมครับ,ใช่
พร้อมค่ะ,ใช่
พร้อมนะ,ใช่
พร้อมคับ,ใช่
พร้อมนะคะ,ใช่
พร้อมนะจ๊ะ,ใช่
พร้อมจ้า,ใช่
พร้อมละ,ใช่
พร้อมว่ะ,ใช่
พร้อมจ้ะ,ใช่
พร้อมจ๊ะ,ใช่
ยินยอม,ใช่
ยินยอมครับ,ใช่
ยินยอมค่ะ,ใช่
ยินยอมนะ,ใช่
ยินยอมคับ,ใช่
ยินยอมนะคะ,ใช่
ยินยอมนะจ๊ะ,ใช่
ยินยอมจ้า,ใช่
ยินยอมละ,ใช่
ยินยอมว่ะ,ใช่
ยินยอมจ้ะ,ใช่
ยินยอมจ๊ะ,ใช่
ไม่ตกลง,ไม่ใช่
ไม่ตกลงครับ,ไม่ใช่
ไม่ตกลงค่ะ,ไม่ใช่
ไม่ตกลงนะ,ไม่ใช่
ไม่ตกลงคับ,ไม่ใช่
ไม่ตกลงนะคะ,ไม่ใช่
ไม่ตกลงนะจ๊ะ,ไม่ใช่
ไม่ตกลงจ้า,ไม่ใช่
ไม่ตกลงละ,ไม่ใช่
ไม่ตกลงว่ะ,ไม่ใช่
ไม่ตกลงจ้ะ,ไม่ใช่
ไม่ตกลงจ๊ะ,ไม่ใช่
ไม่รับได้,ไม่ใช่
ไม่รับได้ครับ,ไม่ใช่
ไม่รับได้ค่ะ,ไม่ใช่
ไม่รับได้นะ,ไม่ใช่
ไม่รับได้คับ,ไม่ใช่
ไม่รับได้นะคะ,ไม่ใช่
ไม่รับได้นะจ๊ะ,ไม่ใช่
ไม่รับได้จ้า,ไม่ใช่
ไม่รับได้ละ,ไม่ใช่
ไม่รับได้ว่ะ,ไม่ใช่
ไม่รับได้จ้ะ,ไม่ใช่
ไม่รับได้จ๊ะ,ไม่ใช่
ไม่พร้อม,ไม่ใช่
ไม่พร้อมครับ,ไม่ใช่
ไม่พร้อมค่ะ,ไม่ใช่
ไม่พร้อมนะ,ไม่ใช่
ไม่พร้อมคับ,ไม่ใช่
ไม่พร้อมนะคะ,ไม่ใช่
ไม่พร้อมนะจ๊ะ,ไม่ใช่
ไม่พร้อมจ้า,ไม่ใช่
ไม่พร้อมละ,ไม่ใช่
ไม่พร้อมว่ะ,ไม่ใช่
ไม่พร้อมจ้ะ,ไม่ใช่
ไม่พร้อมจ๊ะ,ไม่ใช่
ไม่ยินยอม,ไม่ใช่
ไม่ยินยอมครับ,ไม่ใช่
ไม่ยินยอมค่ะ,ไม่ใช่
ไม่ยินยอมนะ,ไม่ใช่
ไม่ยินยอมคับ,ไม่ใช่
ไม่ยินยอมนะคะ,ไม่ใช่
ไม่ยินยอมนะจ๊ะ,ไม่ใช่
ไม่ยินยอมจ้า,ไม่ใช่
ไม่ยินยอมละ,ไม่ใช่
ไม่ยินยอมว่ะ,ไม่ใช่
ไม่ยินยอมจ้ะ,ไม่ใช่
ไม่ยินยอมจ๊ะ,ไม่ใช่
ขอผ่าน,ไม่ใช่
ขอผ่านครับ,ไม่ใช่
ขอผ่านค่ะ,ไม่ใช่
ขอผ่านนะ,ไม่ใช่
ขอผ่านคับ,ไม่ใช่
ขอผ่านนะคะ,ไม่ใช่
ขอผ่านนะจ๊ะ,ไม่ใช่
ขอผ่านจ้า,ไม่ใช่
ขอผ่านละ,ไม่ใช่
ขอผ่านว่ะ,ไม่ใช่
ขอผ่านจ้ะ,ไม่ใช่
ขอผ่านจ๊ะ,ไม่ใช่
ยังไม่สะดวก,ไม่ใช่
ยังไม่สะดวกครับ,ไม่ใช่
ยังไม่สะดวกค่ะ,ไม่ใช่
ยังไม่สะดวกนะ,ไม่ใช่
ยังไม่สะดวกคับ,ไม่ใช่
ยังไม่สะดวกนะคะ,ไม่ใช่
ยังไม่สะดวกนะจ๊ะ,ไม่ใช่
ยังไม่สะดวกจ้า,ไม่ใช่
ยังไม่สะดวกละ,ไม่ใช่
ยังไม่สะดวกว่ะ,ไม่ใช่
ยังไม่สะดวกจ้ะ,ไม่ใช่
ยังไม่สะดวกจ๊ะ,ไม่ใช่
ผ่านไปก่อน,ไม่ใช่
ผ่านไปก่อนครับ,ไม่ใช่
ผ่านไปก่อนค่ะ,ไม่ใช่
ผ่านไปก่อนนะ,ไม่ใช่
ผ่านไปก่อนคับ,ไม่ใช่
ผ่านไปก่อนนะคะ,ไม่ใช่
ผ่านไปก่อนนะจ๊ะ,ไม่ใช่
ผ่านไปก่อนจ้า,ไม่ใช่
ผ่านไปก่อนละ,ไม่ใช่
ผ่านไปก่อนว่ะ,ไม่ใช่
ผ่านไปก่อนจ้ะ,ไม่ใช่
ผ่านไปก่อนจ๊ะ,ไม่ใช่
ไม่มี,ไม่ใช่
ไม่มีครับ,ไม่ใช่
ไม่มีค่ะ,ไม่ใช่
ไม่มีนะ,ไม่ใช่
ไม่มีคับ,ไม่ใช่
ไม่มีนะคะ,ไม่ใช่
ไม่มีนะจ๊ะ,ไม่ใช่
ไม่มีจ้า,ไม่ใช่
ไม่มีละ,ไม่ใช่
ไม่มีว่ะ,ไม่ใช่
ไม่มีจ้ะ,ไม่ใช่
ไม่มีจ๊ะ,ไม่ใช่
มี,ใช่
มีครับ,ใช่
